('', None)
('*', None)
('2', 2)
('--3', 3)
('/', None)
('0', 0)
('()', None)
('*+4', None)
('(89 - 100)', -11)
('()2 + 4', None)
(')5+4(', None)
('(5+(6+7)', None)
('ягурлык', None)
('pi**2', None)
('[2+3]', None)
('3**4', None)
('70.10', 70.1)
('o+1', None)
('2 + 2 * 2', 6)
('(2 + 2) * 2', 8)
('3,5+1,5', None)
('0--3', 3)
('1700 арбузов', None)
('(34 + 45) - 56)', None)
('62 - (24 + 21) =\t100 - (36 + 11) =\t59 + (27 - 19) =\t(33 - 24) + 41 =', None)
('62 - (24 + 21) * 100 - (36 + 11) / 59 + (27 - 19) * (33 - 24) + 41 ', -4325.79661)
('(62.2 + (24.0 + 21) * 100.0000000000000000000000001) * (36.87897289372839 + 11) / 59 + (27 - 19) * (33 - 24) + 41', 3815.261866707926)
('28 - (11 + .16) *                                            82 - (29/1. + 17/1.)', -933.12)
('3498 \n + \n 94894 - \n 1.0', None)
('Ж + -289.31154981433167 - -203.04324073041658 220.51611927320357 +', None)
('-261.880936387809 -- -123.20700717171121 ++ К', None)
('-265.10216679103263 / -87.83652491008809 238.09004783453247 * -63.83485146029594 -297.5968553437791 -187.06568258978024 / -67.63489927286287', None)
('-56.03435415152822 + а - 147.7457100566828 -177.82599687615985 -106.7006202425938', None)
('К -- -2.241948730894194 ++ ё', None)
('-81.35490302775275 / 265.0102127876513 ) * и -230.8574723368415 -284.0660330185538 / 252.13210199259902', None)
('48.72366074014985 + -0.5751170564059294 - -1.0468844382442057 / 147.7457100566828', 48.155629401751185)
('88.69871803791472 -- 4.924315659803824 ++ О', None)
('-284.542933687587 / -96.8210086008016 265.0102127876513 * 21.626110896516877 ё -284.542933687587 / г', None)
('157.3764034511928 + -249.5229065483872 - * 21.52146635317058 -261.880936387809', None)
('б -- 157.3764034511928 ++ 36.84100036199919', None)
('31.814667708481807 / 107.14559342047494 -236.46692489285806 * М -0.5751170564059294 -56.03435415152822 / 47.01809414476486', None)
('-5.9669773275654165 + * - -226.4936633341103 -58.759874512463085 -168.01199999648085', None)
('288.93202320892806 -- 23.407071147882675 ++ -87.83652491008809', 224.50256944672265)
('30.450969650258855 / \n -139.50767528144823 * -139.50767528144823 -56.881859866176995 119.40982668745903 / 66.67603794392369', None)
('288.93202320892806 + -58.759874512463085 - -206.46088147401883 120.53822442006788 -99.10490488527589', None)
('-96.8210086008016 -- -226.4936633341103 ++ -88.42521290119421', -411.73988483610606)
('н / 30.450969650258855 88.69871803791472 * -168.01199999648085 -139.50767528144823 28.38728439033872 / -204.47796783498188', None)
('150.73369071050507 + -56.03435415152822 - ( 23.407071147882675 -299.6862907970833', None)
('157.3764034511928 -- -268.5156378424376 ++ и', None)
('30.041423988006557 / 150.73369071050507 128.9402613727181 * з 47.01809414476486 ё / -168.01199999648085', None)
('-106.7006202425938 + з - 130.11161366087993 -220.2038988557873 з', None)
('30.450969650258855 -- -187.24744946034275 ++ -1.0468844382442057', -157.8433642483281)
('-27.99967430476505 / 30.450969650258855 119.40982668745903 * 4.924315659803824 28.38728439033872 68.69775972267536 / -58.759874512463085', None)
('-254.61017987038926 + -282.16070768440244 - -88.42521290119421 179.15552500344728 Ж', None)
('-123.20700717171121 -- -76.50083985142658 ++ -236.46692489285806', -436.17477191599585)
('-106.7006202425938 / 4.924315659803824 201.36453531312696 * -23.46377926942347 288.93202320892806 -168.01199999648085 / 68.69775972267536', None)
('288.93202320892806 + 88.69871803791472 - л -254.61017987038926 -204.47796783498188', None)
('з -- 156.1848530542773 ++ \t', None)
('66.67603794392369 / 89.13050742749499 -23.46377926942347 * г ( -299.957155762821 / 119.40982668745903', None)
('-196.05029931385798 + -56.50585436023897 - г -262.73443728834025 157.3764034511928', None)
('-23.46377926942347 -- 107.14559342047494 ++ -56.03435415152822', 27.64745999952325)
